Company name,Job Description,Job Role,Skills,Location,Updated
Microsoft India Pvt Ltd,"OverviewThe Microsoft Spatial AI Lab in Zurich ,  Switzerland ,  is a research and development team building the future of spatial computing. We are l...",Scientist Action Recognition - Spatial AI Lab,"**, computer, vision, techniques, machine, learning, algorithms, cloud, computing, proficiency, programming, in, c, /, python, deep, learning, models, **, debugging",Switzerland,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, sql, proficiency, data, analysis, collaborative, environment, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expertise, python, programming, sql, database, management, data, analysis, skills, agile, methodologies, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"**, python, programming, data, analytics, machine, learning, data, modeling, cloud, technologies, **, algorithms, artificial, intelligence",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, proficient, sql, knowledge, data, analysis, skills, collaborative, problem, solving, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expert, python, programming, sql, querying, data, analysis, agile, methodologies, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"**, python, programming, data, analytics, machine, learning, data, modeling, cloud, technologies, **, algorithms, artificial, intelligence",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expertise, python, programming, sql, proficiency, data, analysis, agile, methodologies, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"python, programming, data, analytics, machine, learning, data, modeling, statistical, analysis, algorithms, artificial, intelligence",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, google, cloud, platform, python, programming, sql, expertise, data, analysis, agile, methodologies, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, management, python, development, sql, proficiency, data, analysis, time, management, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, python, programming, sql, proficiency, data, analysis, time, management, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, google, cloud, platform, python, programming, sql, expertise, data, analysis, agile, methodologies, **, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionA career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. In this role ,  you wil...",RPA Consultant,"**, rpa, development, business, process, automation, sql, proficiency, automation, design, quality, assurance, processes, **, python, mining, consultant, .net",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expertise, python, programming, sql, database, management, data, analysis, skills, time, management, composer",Chennai,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"python, programming, data, analytics, machine, learning, cloud, technologies, data, modeling, algorithms, artificial, intelligence",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, skills, sql, data, analysis, proactive, collaboration, time, management, abilities, **, composer",Kolkata,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, sql, database, management, data, analysis, agile, methodologies, **, composer",Kolkata,4 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"**, python, programming, data, analytics, machine, learning, data, modeling, process, improvement, **, algorithms, artificial, intelligence",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionA career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. In this role ,  you wil...",Deputy Manager  RPA Consultant,"**, rpa, development, business, process, design, automation, testing, sql, proficiency, vba, development, **, python, mining, consultant, .net",Bengaluru / Bangalore,4 days ago
IBM India Pvt Ltd,"IntroductionA career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. In this role ,  you wil...",Deputy Manager  RPA Consultant,"**, rpa, development, uipath, expertise, sql, knowledge, process, automation, problem, solving, **, python, mining, consultant, .net",Bengaluru / Bangalore,4 days ago
Paytm,"Business Analyst - Team Lead - Credit Card BusinessLocation: Noida ,  Uttar PradeshAnalytics  LendingOn-rollOn-siteTitleBusiness Analyst - Team Lead -...",Paytm - Business Analyst - Team Lead - Credit Card Business,"sql, data, analysis, python, programming, big, data, visualization, agile, methodologies, communication, skills, ant, machine, learning",Noida/Greater Noida,4 days ago
CONNECTING 2 WORK,Job Description Job Brief: We are looking for dynamic people with top notch server administration experience to join our team. You will be involved in...,System Administrator,"hosting, system, administration, security, linux, shell, scripting, perl, python, kernel, windows, web, hosting, written, communication, unix",Cochin/ Kochi/ Ernakulam,few days ago
Microsoft India Pvt Ltd,"OverviewAre you passionate about Linux and enabling it in a large ,  distributed setting both in the Azure cloud and Edge? Do you want to be part of a...",Linux security and Release Management Engineer,"linux, security, management, release, management, vulnerability, assessment, open, source, contributions, automation, scripting, debian, python, fedora, infrastructure",Bengaluru / Bangalore,5 days ago
Microsoft India Pvt Ltd,"OverviewThe Microsoft Spatial AI Lab in Zurich ,  Switzerland ,  is a research and development team building the future of spatial computing. We are l...",Principal Applied Scientist Spatial AI Lab,"computer, vision, machine, learning, deep, learning, programming, expertise, robotic, systems, c, security, debugging, cloud, computing, python",Switzerland,4 days ago
Microsoft India Pvt Ltd,"OverviewThe Microsoft Spatial AI Lab in Zurich ,  Switzerland ,  is a research and development team building the future of spatial computing. We are l...",Principal Applied Scientist,"computer, vision, machine, learning, deep, learning, programming, skills, robotics, expertise, c, security, debugging, cloud, computing, python",Switzerland,4 days ago
Microsoft India Pvt Ltd,"OverviewThe Microsoft Spatial AI Lab in Zurich ,  Switzerland ,  is a research and development team building the future of spatial computing. We are l...",Principal Applied Scientist,"**, computer, vision, machine, learning, cloud, computing, deep, learning, c, /, python, programming, **, security, debugging",Switzerland,4 days ago
IBM India Pvt Ltd,"IntroductionAt IBM ,  work is more than a job  its a calling: To build. To design. To code. To consult. To think along with clients and sell. To make ...",Backend Developer,"**, python, programming, rest, api, development, microservices, architecture, network, protocols, cloud, computing, **, orchestration, security, software, engineering, infrastructure",Bengaluru / Bangalore,4 days ago
Google India Pvt Ltd,"Business Data Scientist ,  Product Services AnalyticsLocations: Boulder ,  CO ,  USA; Atlanta ,  GA ,  USAExperience Level: MidJob Overview:Mid experi...","Business Data Scientist ,  Product Services Analytics","**, data, analysis, statistical, modeling, python, coding, sql, querying, project, management, **, job, posting, recruitment, workforce, communication, compensation",Atlanta,4 days ago
AMAZON INDIA PVT LTD,"In Amazon Stores ,  we ship some of the widest arrays of technology found at any company. From amazon.com to world class machine learning pipelines , ...","Security Engineer ,  Application Security","threat, modeling, secure, code, review, security, automation, security, training, security, architecture, java, python, machine, learning, javascript",Bengaluru / Bangalore,4 days ago
AMAZON INDIA PVT LTD,"In Amazon Stores ,  we ship some of the widest arrays of technology found at any company. From amazon.com to world class machine learning pipelines , ...","Security Engineer ,  Application Security","threat, modeling, secure, code, review, security, automation, security, analysis, security, architecture, java, python, machine, learning, javascript",Bengaluru / Bangalore,4 days ago
FanCode,ML Engineer MumbaiCompany: FanCode  DataJob Type: Full-timeLocation: On-siteFanCode is Indias premier sports destination committed to giving fans a hi...,ML Engineer Mumbai FanCode  Data  /  Full-time  /  On-site,"data, driven, solutions, python, programming, sql, data, ingestion, pipelines, business, requirements, breakdown, ensemble, oops, rest",Mumbai,4 days ago
volvo group india pvt ltd,Transport is at the core of modern society. Imagine using your expertise to shape sustainable transport and infrastructure solutions for the future? I...,Master Thesis- Automatic CAD in loop,"**, d, modeling, software, python, programming, knowledge, matlab, familiarity, battery, technology, understanding, geometric, design, optimization, **, infrastructure",Sweden,4 days ago
Tech Mahindra Ltd,"Job Summary8  years experience in Data Analysis ,  Data Quality ,  Data Governance ,  Data Warehouse / Data Lake in Enterprise Big Data platformsAt le...",Data Governance,"data, analysis, data, quality, data, governance, sql, /, python, proficiency, cloud, platform, experience, big, data",Hyderabad/Secunderabad,4 days ago
Nvidia Graphics Pvt Ltd,: Senior Software Engineer for Quantized TrainingWe are now looking for a Senior Software Engineer for Quantized Training. We are a team committed to ...,"Senior Software Engineer ,  Quantized Training","**, software, engineering, c, development, python, programming, machine, learning, cuda, optimization, **, senior, software, engineer, debugging, infrastructure",Redmond,4 days ago
Google India Pvt Ltd,": Network Operations Engineer ,  Technical InfrastructureLocation: Dublin ,  IrelandExperience Level: EarlyMinimum Qualifications:Bachelor's degree in...","Network Operations Engineer ,  Technical Infrastructure","**, network, operations, systematic, troubleshooting, optical, network, infrastructure, router, installation, python, programming, **, job, posting, recruitment, workforce, communication",Ireland,4 days ago
Nvidia Graphics Pvt Ltd,NVIDIA is seeking an enthusiastic individual to join our DOCA NVQual team for Data Processing Units  ( DPUs )  and ConnectX  ( CX )  as a Junior Softw...,"Software Engineer ,  DOCA","python, programming, debugging, skills, analytical, thinking, low, level, programming, hardware, integration, junior, software, engineer, linux",Israel,4 days ago
CIGNEX Datamatics Technologies Pvt Ltd,": Gen AI EngineerExperience: 6  8 yearsLocation: Hybrid / BengaluruTechnology: Gen AI ,  Python ,  ML algorithm ,  LLM ,  LangchainNo of Positions: 2:...",Gen AI Engineer -  ( Exp : 6  8 years ),"python, programming, generative, ai, machine, learning, large, language, models, data, preprocessing, algorithms, natural, language, processing",Bengaluru / Bangalore,5 days ago
ap moller-maersk shipping,OpportunityThe world is facing a climate emergency. At Maersk we see it as our obligation  as an industry leader in logistics and with the resources a...,Elixir Developer,"advanced, technology, extreme, programming, test, driven, development, python, development, energy, transition, erlang, ruby","Bengaluru / Bangalore,  null,  null",5 days ago
SAP Ariba,"Software-Design and DevelopmentDeveloper Associate - Performance and Scalability Engineer | 1-3yWe help the world run betterAt SAP ,  we enable you to...",Developer Associate - Performance and Scalability Engineer | 1-3y Job Details | SAP,"performance, testing, scalability, analysis, scripting, knowledge, cloud, technologies, root, cause, analysis, docker, database, python",Bengaluru / Bangalore,5 days ago
LAKSH HUMAN RESOURCE,Mumbai Software Developer  /  Core Engineer Experience : 2 to 5 yrs Skills Required : Job Summary : Software Developer / Core Engineer We are looking ...,Software Developer  /  Core Engineer,"c, java, linux, shell, scripting, python, c, problem, solving, technology, windows, ruby, software, developer",Mumbai,few days ago
IBM India Pvt Ltd,"IntroductionThis field is populated based on the Job Role ID; however it can be overwritten: Focus on the role ,  not on IBM or business unit. Candida...",Software Development Engineer I,"**, strong, coding, skills, data, structure, expertise, algorithm, design, java, programming, python, programming, **, software, engineering",Bengaluru / Bangalore,5 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"python, programming, data, analytics, machine, learning, data, modeling, cloud, technologies, algorithms, artificial, intelligence",Bengaluru / Bangalore,5 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expertise, python, programming, sql, experience, data, analysis, skills, time, management, composer",Kolkata,5 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, sql, proficiency, data, analysis, ability, change, management, skills, **, composer",Kolkata,5 days ago
Moody's Corporation,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : The Alexandra 200-220 ,  The Quays ,  Salford ,  M50 3SP ...",Senior Software Engineer,"software, development, net, python, java, cloud, platforms, software, engineering, director, web, technologies, .net, software, developer",UK,5 days ago
lucideus technology pvt ltd,: Hack Analysis InternLocation: Bengaluru or New DelhiDepartment: Artificial Intelligence  Threat IntelPosition Type: InternWork Mode: On-siteCompany ...,Safe Security - Hack Analysis Intern,"cybersecurity, analysis, mitre, standards, knowledge, python, proficiency, research, and, analytics, report, writing, github, artificial, intelligence","Bengaluru / Bangalore,  Delhi",5 days ago
AMAZON INDIA PVT LTD,"At Amazon ,  we're working to be the most customer-centric company on earth. To get there ,  we need exceptionally talented ,  bright ,  and driven pe...","Program Manager I ,  Program Manager I ,  Shared Services","**, data, analysis, skills, project, management, sql, proficiency, python, basics, communication, skills, **, algorithms, program, manager, machine, learning",Hyderabad/Secunderabad,5 days ago
Dell India,2025 Power Firmware Engineer Campus HireDell provides the technology that transforms the way we all work and live. But we are more than a technology c...,2025 Power Firmware Engineer Campus Hire,"firmware, engineering, power, supply, design, micro, controllers, analog, and, digital, design, scripting, languages, c, linux, python, infrastructure",,few days ago
krazy mantra hr solutions,"Hiring For Devops Puppet:Devops Puppet Desired ProfileSkills: software engineering role with Puppet experience ,  Splunk skills ,  Git and GitHub ,  C...",Hiring For Devops Puppet,"puppet, experience, splunk, skills, git, and, github, ci, /, cd, pipelines, api, development, python, devops, software, engineering, ruby","Pune,  Hyderabad/Secunderabad",6 days ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position Description:Das Team Retail in Hamburg ist Wegbereiter fr seine Kunden. Wir denken innovativ ,  agil und sind offen fr Neues. Wir entwickeln ...",DevOps Guru mit Hang zum E-Commerce  ( m / f / d ),"**, cloud, infrastructure, continuous, integration, continuous, delivery, agile, development, devops, practices, **, python, ruby, java",Germany,6 days ago
IBM India Pvt Ltd,"IntroductionAt IBM ,  our Project Managers excel by leading and coordinating a project teams overall performance ,  scope ,  cost ,  and deliverables....",Compliance Project Manager,"project, management, compliance, standards, cloud, security, agile, methodologies, communication, skills, sql, database, python, javascript, nosql",Bengaluru / Bangalore,6 days ago
CGI Information Systems and Management Consultants Pvt Ltd,"Position DescriptionMinimum 5 years of experience automating infrastructure provisioning ,  Networking ,  DevOps or continuous integration / delivery....",Google Cloud Engineer - SSE,"**, google, cloud, platform, infrastructure, provisioning, devops, automation, technical, troubleshooting, container, orchestration, **, python, access, management, git, linux",Bengaluru / Bangalore,6 days ago
zf india pvt ltd,"Job Title: Analytics Software DeveloperCountry / Region: INLocation: Coimbatore ,  TN ,  IN ,  641659Req ID: 68462 Coimbatore ,  IndiaZF Industrial Te...",Analytics Software Developer Job Details | ZF Group,"data, analytics, machine, learning, software, development, agile, project, management, problem, solving, devops, python, infrastructure, software, developer",Coimbatore,6 days ago
renault nissan,CompanyRNTBCI PLDesignation: Senior EngineerObjective of this Role:Design and develop machine learning algorithms and deep learning applications and s...,Senior Engineer,"**, machine, learning, algorithms, deep, learning, applications, python, and, java, data, pipeline, construction, agile, methodologies, **, written, communication, devops",Chennai,6 days ago
MASTERCARD,"Our PurposeWe work to connect and power an inclusive ,  digital economy that benefits everyone ,  everywhere by making transactions safe ,  simple ,  ...",Manager,"**, data, management, etl, processes, big, data, technologies, team, leadership, technical, communication, **, security, hadoop, python",Pune,6 days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expertise, python, programming, sql, proficiency, data, analysis, skills, time, management, abilities, composer",Hyderabad/Secunderabad,6 days ago
Binance,"Senior Data Scientist  ( Compliance ) Location: Asia  /  Taiwan ,  TaipeiDepartment: Engineering  Big DataType: Full-time Onsite or Remote  /  HybridB...",Senior Data Scientist  ( Compliance ),"data, analysis, techniques, machine, learning, models, python, programming, sql, proficiency, compliance, risk, management, infrastructure, big, data",,6 days ago
AMAZON INDIA PVT LTD,"Want to help shape how connected devices get to market faster? Join the new initiative Amazon Common Software  ( ACS )  for Devices ,  which launched ...","Software Dev Engineer II ,  Amazon Common Software","software, development, c, /, c, programming, python, coding, testing, automation, system, design, security, software, engineering",Bengaluru / Bangalore,6 days ago
krazy mantra hr solutions,"Hiring For Databricks  SnowflakeDesired ProfileSkills: Azure Data Factory ,  Azure Data bricks Spark  ( PySpark or scala )  ,  SQL and snowflake ,  Az...",Hiring For Databricks  Snowflake,"azure, data, factory, pyspark, sql, snowflake, python, java, orchestration, scala, sqoop, hadoop","Coimbatore,  Chennai,  Pune",6 days ago
timesys corporation,"What you will be doing: Driver development and new hardware enablement on Linux ,  Android or RTOSIntegrate various software into build systemsDesign ...",Senior Embedded Software Engineer,"security, rtos, git, linux, debugging, shell, scripting, perl, python, c, driver, development",,few days ago
IBM India Pvt Ltd,IntroductionTechnology sales at IBM is evolving its way of working to break beyond boundaries with innovative approaches. Preferring to show vs. tell ...,Platform Engineer  Client Engineering,"**, cloud, technologies, ai, solutions, infrastructure, automation, agile, practices, solution, architecture, **, python, storage, security, java, consultant, devops",Mumbai,6 days ago
AIR Worldwide,": Risk ConsultantFull-timeSalaryMax.: $85 , 000.00Disclaimer: Annualized base pay may vary depending on geographic location ,  job-related knowledge ,...",Risk Consultant,"**, technical, troubleshooting, data, analysis, project, management, python, programming, relationship, building, **, learning, career, development, placement","Jersey City,  Boston",6 days ago
krazy mantra hr solutions,Hiring For DevOps GCP Terraform Engineer** DevOps GCP Terraform Engineer**Desired Profile Skills:TerraformGCPAutomation ToolsDevOps tools like Git and...,Hiring For DevOps GCP Terraform engineer,"terraform, gcp, automation, tools, jenkins, python, github, groovy, java, devops, infrastructure, sql","Pune,  Hyderabad/Secunderabad",6 days ago
accenture,"Project Role:AI  /  ML EngineerProject Role Description:Develops applications and systems that utilize AI to improve performance and efficiency ,  inc...",AI  /  ML Engineer,"natural, language, processing, machine, learning, algorithms, python, expertise, ai, integration, client, engagement, skills, problem, solving",Pune,few days ago
Microsoft India Pvt Ltd,"OverviewWe are Azure Data ,  a Microsoft team that drives the future of data processing in the Microsoft Cloud. Our software development team ,  locat...",Software Engineer,"**, software, development, database, management, programming, languages, cloud, services, customer, experience, **, security, postgresql, software, engineering, c#, python",,few days ago
Microsoft India Pvt Ltd,"OverviewWe are Azure Data ,  a Microsoft team that drives the future of data processing in the Microsoft Cloud. Our software development team ,  locat...",Software Engineering,"**, software, development, cloud, services, database, management, programming, languages, customer, experience, **, security, postgresql, software, engineering, c#, python",,few days ago
Azcom Technology,LINUX  &  FIRMWARE ENGINEERAzcom Technology offers the opportunity to join a highly experienced and motivated Firmware Team focused on embedded system...,LINUX  &  FIRMWARE ENGINEER,"dsp, c, software, design, 3gpp, rtos, git, linux, software, life, cycle, python, c, kernel, svn",Italy,few days ago
Cotocus,Chef Operations EngineerOperations engineers direct and perform tasks related to solving operational issues within their organization with Chef. Being...,Chef Operations Engineer,"python, ruby, docker, java, git, infrastructure, linux, perl, cloud, computing, unix",Bengaluru / Bangalore,few days ago
Parallel Wireless,"Manager ,  EMS BangaloreDepartment: 301-EngineeringEmployment Type: Full TimeLocation: On-siteJob Requirement:2G / 4G / 5G End to End call flows knowl...","Manager ,  EMS Bangalore 301-Engineering  301-Engineering  /  Full Time  /  On-site","end, to, end, call, flows, python, scripting, team, training, lab, maintenance, cloud, concepts",Bengaluru / Bangalore,few days ago
IBM India Pvt Ltd,"IntroductionAs a Hardware Developer at IBM ,  youll get to work on the systems that are driving the quantum revolution and the AI era. Join an elite t...",Logic Design Engineer,"microarchitecture, design, vhdl, /, verilog, processor, architecture, vlsi, design, python, scripting, physical, design, verification, hardware",Bengaluru / Bangalore,few days ago
Every Web Works,We are looking for Dynamic People who love to Experiment with Technologies and have had the Technical Experience in the Industry. Were always looking ...,App Dev. Associate,"python, rdbms, wordpress, joomla, ruby, sql, java, drupal, php, .net, web, development, perl, technical, skills",Coimbatore,few days ago
CIGNEX Datamatics Technologies Pvt Ltd,": CloudOps Engineer -  ( Exp: 0.6  1 years ) Location: Work from Office ,  BengaluruTechnology: AWS Services ,  worked on any Monitoring and ITSM tool...",CloudOps Engineer -  ( Exp : 0.6  1 years ),"**, aws, services, management, infrastructure, as, code, environment, troubleshooting, automated, deployments, monitoring, tools, experience, **, python",Bengaluru / Bangalore,few days ago
the modern dimension,"Responsibilities 4  yrs of Experience building and optimizing big data' data pipelines ,  architectures and data sets. Experience supporting and worki...",Data Engineer,"python, c, scala, oozie, sql, nosql, java, cassandra, hadoop, big, data","Delhi,  Delhi/NCR,  Bengaluru / Bangalore",few days ago
AMAZON INDIA PVT LTD,Have you ever thought about what it takes to detect and prevent fraudulent activity among hundreds of millions of e-commerce transactions across the g...,"Business Analyst ,  Payment Risk","data, analysis, sql, querying, risk, management, dashboard, development, communication, skills, python",Hyderabad/Secunderabad,few days ago
AMAZON INDIA PVT LTD,"As part of the WW Ops Finance S & amp;A's OPAAT  ( Operations Finance Planning Automation  & amp; Analytics Team )  ,  you would be part of a team tha...","Business Intelligence Engineer ,  WW Ops Finance S & A","financial, planning, sql, proficiency, python, programming, bi, solutions, aws, solutions, big, data",Bengaluru / Bangalore,few days ago
Google India Pvt Ltd,": Business and Marketing Data Scientist ,  gTech Ads  ( Mandarin ,  English ) Location: Shanghai ,  China; Beijing ,  ChinaExperience Level: MidNote: ...","Business and Marketing Data Scientist ,  gTech Ads  ( Mandarin ,  English )","**, data, analytics, statistical, analysis, machine, learning, python, programming, client, engagement, **, algorithms, sql, database, data, extraction",China,few days ago
rackspace technology,: AI  /  ML Engineer  ( AWS )  - Hybrid - Sydney AustraliaPublic Cloud - Offerings and Delivery  Cloud Data ServicesFull-TimeHybridResponsibilities:Ut...,Rackspace - AI  /  ML Engineer  ( AWS )  - Hybrid - Sydney,"**, generative, ai, architectures, computer, vision, models, python, programming, machine, learning, techniques, aws, data, services, **, ds",Australia,few days ago
Nvidia Graphics Pvt Ltd,"Autonomous vehicles are redefining the way we live ,  work ,  and playcreating safer and more efficient roads. These revolutionary benefits require ma...","Software Engineering Intern ,  Drive Sim - 2025","python, programming, c, programming, d, simulation, omniverse, kit, team, collaboration, imaging, software, engineer",China,few days ago
ap moller-maersk shipping,"OpportunityMaersk is improving life for all by integrating the world. From the farm to your refrigerator ,  or the factory to your wardrobe ,  we are ...",Lead Data Scientist,"predictive, modelling, machine, learning, data, analytics, python, programming, cloud, computing, docker, devops, github, microsoft, azure",Bengaluru / Bangalore,few days ago
Microsoft India Pvt Ltd,"OverviewMicrosofts exciting mission is to empower every person and every organization on the planet to achieve more. To deliver on that mission ,  we ...",Software Engineer,"software, engineering, c, /, c, /, c#, /, java, python, programming, devops, experience, security, requirements, fundamentals, javascript, infrastructure",Ireland,few days ago
Microsoft India Pvt Ltd,OverviewMicrosoft Research is seeking exceptional researchers passionate about making robots a helpful and safe part of everyday reality. As a member ...,Senior Researcher - Embodied AI / Robotics - Microsoft Research,"**, imitation, learning, reinforcement, learning, deep, learning, frameworks, python, programming, multimodal, models, **, art, physics, statistics, publications",Redmond,few days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, skills, sql, data, analysis, collaboration, and, teamwork, time, management, **, composer",Kolkata,few days ago
IBM India Pvt Ltd,"IntroductionA career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. In this role ,  you wil...",Sr Process Analyst  RPA Developer,"rpa, development, automation, tools, sql, knowledge, programming, proficiency, business, process, design, python, mining, .net",Bengaluru / Bangalore,few days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"**, gcp, services, expertise, python, programming, sql, proficiency, data, analysis, skills, agile, methodologies, **, composer",Hyderabad/Secunderabad,few days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Engineer: Data Platforms-Google,"gcp, services, expert, python, programming, sql, proficiency, data, analysis, skills, agile, methodologies, composer",Hyderabad/Secunderabad,few days ago
IBM India Pvt Ltd,"IntroductionIn this role ,  youll work in one of our IBM Consulting Client Innovation Centers  ( Delivery Centers )  ,  where we deliver deep technica...",Data Scientist: Artificial Intelligence,"python, programming, data, analytics, machine, learning, data, model, design, data, pipeline, optimization, algorithms, artificial, intelligence",Bengaluru / Bangalore,few days ago
IBM India Pvt Ltd,"IntroductionAt IBM ,  work is more than a job  its a calling: To build. To design. To code. To consult. To think along with clients and sell. To make ...",Research Intern AI,"**, java, /, python, coding, data, structures, algorithms, problem, solving, ai, /, ml, fundamentals, **, docker, git, software, engineering","Bengaluru / Bangalore,  Gurgaon",few days ago
DXC Technologies,"Como parte da nossa equipa de IA  & amp; Dados ,  vais aplicar os teus conhecimentos tecnolgicos para gerar valor empresarial para os nossos clientes ...",Arquiteto de MLOps,"mlops, implementation, cloud, architecture, machine, learning, programming, skills, project, leadership, python, os, dos, sql, devops",,few days ago
IBM India Pvt Ltd,"IntroductionAt IBM ,  work is more than a job  its a calling: To build. To design. To code. To consult. To think along with clients and sell. To make ...",Cloud Developer,"python, golang, c, /, c, agile, /, scrum, cloud, architecture, rest, api, storage, docker, debugging, problem, solving",Bengaluru / Bangalore,few days ago
Infogain Corporation,"Data Science Architect  ( Standard ) Skills: Data Science ,  Python ,  Data Modeling ,  Data Science ,  SQLLocation: Gurugram ,  IndiaPosted on: Augus...","Infogain looking for Data Science Architect  ( Standard )  ,  Gurugram ,  India 12-14 Years Experience in Data Science","data, science, python, data, modeling, sql, machine, learning, algorithms, artificial, intelligence, telecom, software, engineering","Mumbai,  Bengaluru / Bangalore,  Pune,  Noida/Greater Noida,  Gurgaon",few days ago
